Order Date,Title,Category,ASIN/ISBN,UNSPSC Code,Website,Release Date,Condition,Seller,Seller Credentials,List Price Per Unit,Purchase Price Per Unit,Quantity,Purchase Order Number,PO Line Number,Shipment Date,Shipping Address Zip,Order Status,Item Subtotal,Item Subtotal Tax,Item Total,Tax Exemption Applied,Tax Exemption Type,Exemption Opt-Out,Buyer Name,Currency,Group Name
1/1/2021,"Amazon Basics 100 Pack AAA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack",BATTERY,B01B8R6V2E,26111702,Amazon.com,,new,Amazon.com,,$23.99 ,$23.99 ,1,,,1/10/2021,20906-2134,Shipped,$23.99 ,$1.22 ,$25.21 ,FALSE,,FALSE,PSF,USD,
1/2/2021,"5 in 1 Foot Spa/Bath Massager with Tea Tree Oil Foot Soak with Epsom Salt - with Heat, Bubbles and Vibration, Digital Temperature Control - Mini Acupressure Massage Points - Foot Stress Relief Spa",MASSAGER,B082291WHP,53131700,Amazon.com,,new,Tip Top Toe,,$0.00 ,$74.99 ,1,,,1/2/2021,20906-2134,Shipped,$74.99 ,$4.50 ,$79.49 ,FALSE,,FALSE,PSF,USD,
1/2/2021,"Amazon Basics 48 Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack",BATTERY,B00MNV8E0C,26111701,Amazon.com,,new,Amazon.com,,$15.49 ,$15.49 ,1,,,1/10/2021,20906-2134,Shipped,$15.49 ,$0.79 ,$16.28 ,FALSE,,FALSE,PSF,USD,
1/3/2021,"Kids Green Step Stool - Great for Potty Training, Bathroom, Bedroom, Toy Room, Kitchen, and Living Room. Perfect for Your House",STEP_STOOL,B01K7YBVUQ,56101800,Amazon.com,,new,Steve's Mall,,$19.99 ,$9.49 ,1,,,1/4/2021,20906-2134,Shipped,$9.49 ,$0.57 ,$10.06 ,FALSE,,FALSE,PSF,USD,
1/3/2021,Falari 12-Pack Boy Toddler Kids Cotton Crew Socks,SOCKS,B075HPJB65,53102402,Amazon.com,,new,Falari,,$19.99 ,$12.99 ,1,,,1/5/2021,20906-2134,Shipped,$12.99 ,$0.78 ,$13.77 ,FALSE,,FALSE,PSF,USD,
1/3/2021,School Oxford Dress Shoes for Boys - Dress Wingtip Shoes and Comfort Leather Shoes for Kids (Little Kid/Big Kid) LHHM21-BROWN-LITTLE Kids 2,SHOES,B08JHVQBXZ,53111600,Amazon.com,,new,linghukeji,,$65.00 ,$29.89 ,1,,,1/5/2021,20906-2134,Shipped,$29.89 ,$1.61 ,$31.50 ,FALSE,,FALSE,PSF,USD,
1/3/2021,Original Penguin Boys' Button Down Shirt - Long Sleeve Collared Shirt,SHIRT,B08FTHFG5Z,53100000,Amazon.com,,new,Lucky 21,,$0.00 ,$14.95 ,1,,,1/5/2021,20906-2134,Shipped,$14.95 ,$0.90 ,$15.85 ,FALSE,,FALSE,PSF,USD,
1/9/2021,"[Gigastone] 64GB 2-Pack Micro SD Card, Camera Plus, MicroSDXC Memory Card for Wyze, Video Camera, Security Camera, Smartphone, Fire tablet, 4K Video Recording, UHS-I U3 A1 V30, 95MB/s, with Adapter",FLASH_MEMORY,B07NY4L4VZ,43202005,Amazon.com,,new,Gigastone  America,,$0.00 ,$16.98 ,1,,,1/10/2021,20906-2134,Shipped,$16.98 ,$1.02 ,$18.00 ,FALSE,,FALSE,PSF,USD,
1/10/2021,"Stonyfield Organic Kids Cherry & Berry Lowfat Yogurt Tubes Variety Pack, 2 oz., 8 Ct - #1 Organic Kids Yogurt, Non-GMO, No Artificial Flavors or Sweeteners",DAIRY_BASED_YOGURT,B000QJDYSA,50000000,Amazon.com,,new,Whole Foods Market,,$4.89 ,$3.99 ,1,,,1/11/2021,20906-2134,Shipped,$3.99 ,$0.00 ,$3.99 ,,,,PSF,USD,
1/10/2021,"365 by Whole Foods Market, Sparkling Water, Lime,12 Fl Oz (Pack of 12)",WATER,B074Y6X1HN,50202300,Amazon.com,,new,Whole Foods Market,,$0.00 ,$4.49 ,1,,,1/11/2021,20906-2134,Shipped,$4.49 ,$0.27 ,$4.76 ,FALSE,,FALSE,PSF,USD,
