Order Date,Website,Purchase Order Number,Shipment Date,Order Status,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged,Buyer Name,Group Name
1/1/2021,Amazon.com,,1/10/2021,Shipped,$23.99 ,$0.00 ,$1.22 ,$3.60 ,$1.22 ,$21.61 ,PSF,
1/2/2021,Amazon.com,,1/2/2021,Shipped,$74.99 ,$0.00 ,$4.50 ,$0.00 ,$4.50 ,$79.49 ,PSF,
1/2/2021,Amazon.com,,1/10/2021,Shipped,$15.49 ,$0.00 ,$0.79 ,$2.32 ,$0.79 ,$13.96 ,PSF,
1/3/2021,Amazon.com,,1/4/2021,Shipped,$9.49 ,$0.00 ,$0.57 ,$0.00 ,$0.57 ,$10.06 ,PSF,
1/3/2021,Amazon.com,,1/5/2021,Shipped,$29.89 ,$0.00 ,$1.61 ,$2.99 ,$1.61 ,$28.51 ,PSF,
1/3/2021,Amazon.com,,1/5/2021,Shipped,$27.94 ,$0.00 ,$1.68 ,$0.00 ,$1.68 ,$29.62 ,PSF,
1/9/2021,Amazon.com,,1/10/2021,Shipped,$16.98 ,$0.00 ,$1.02 ,$0.00 ,$1.02 ,$18.00 ,PSF,
1/10/2021,Amazon.com,,1/11/2021,Shipped,$158.58 ,$0.00 ,$0.27 ,$0.00 ,$0.27 ,$158.85 ,PSF,
1/10/2021,Amazon.com,,1/12/2021,Shipped,$8.00 ,$0.00 ,$0.48 ,$0.00 ,$0.48 ,$8.48 ,PSF,
1/13/2021,Amazon.com,,1/13/2021,Shipped,$35.89 ,$0.00 ,$2.16 ,$0.00 ,$2.16 ,$38.05 ,PSF,
1/13/2021,Amazon.com,,1/13/2021,Shipped,$9.99 ,$0.00 ,$0.60 ,$0.00 ,$0.60 ,$10.59 ,PSF,
1/13/2021,Amazon.com,,1/16/2021,Shipped,$6.99 ,$0.00 ,$0.42 ,$0.00 ,$0.42 ,$7.41 ,PSF,
1/13/2021,Amazon.com,,1/29/2021,Shipped,$18.99 ,$0.00 ,$0.97 ,$6.65 ,$0.97 ,$13.31 ,PSF,
1/13/2021,Amazon.com,,2/2/2021,Shipped,$5.43 ,$0.00 ,$0.28 ,$0.81 ,$0.28 ,$4.90 ,PSF,
1/13/2021,Amazon.com,,2/2/2021,Shipped,$9.76 ,$0.00 ,$0.50 ,$1.46 ,$0.50 ,$8.80 ,PSF,
1/14/2021,Amazon.com,,2/2/2021,Shipped,$14.56 ,$0.00 ,$0.74 ,$2.18 ,$0.74 ,$13.12 ,PSF,
1/15/2021,Amazon.com,,2/2/2021,Shipped,$13.99 ,$0.00 ,$0.80 ,$0.70 ,$0.80 ,$14.09 ,PSF,
1/17/2021,Amazon.com,,1/18/2021,Shipped,$14.28 ,$0.00 ,$0.86 ,$0.00 ,$0.86 ,$15.14 ,PSF,
1/17/2021,Amazon.com,,1/17/2021,Shipped,$19.99 ,$0.00 ,$1.20 ,$0.00 ,$1.20 ,$21.19 ,PSF,
1/17/2021,Amazon.com,,1/18/2021,Shipped,$6.95 ,$0.00 ,$0.42 ,$0.00 ,$0.42 ,$7.37 ,PSF,
1/17/2021,Amazon.com,,1/18/2021,Shipped,$102.97 ,$0.00 ,$6.04 ,$2.34 ,$6.04 ,$106.67 ,PSF,
1/18/2021,Amazon.com,,1/18/2021,Shipped,$153.12 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$153.12 ,PSF,
1/21/2021,Amazon.com,,2/2/2021,Shipped,$26.88 ,$0.00 ,$1.37 ,$4.03 ,$1.37 ,$24.22 ,PSF,
1/21/2021,Amazon.com,,2/2/2021,Shipped,$5.08 ,$0.00 ,$0.24 ,$1.02 ,$0.24 ,$4.30 ,PSF,
1/21/2021,Amazon.com,,2/2/2021,Shipped,$9.92 ,$0.00 ,$0.57 ,$0.50 ,$0.57 ,$9.99 ,PSF,
1/22/2021,Amazon.com,,2/2/2021,Shipped,$11.22 ,$0.00 ,$0.57 ,$1.68 ,$0.57 ,$10.11 ,PSF,
1/25/2021,Amazon.com,,1/25/2021,Shipped,$23.84 ,$0.00 ,$1.43 ,$0.00 ,$1.43 ,$25.27 ,PSF,
1/26/2021,Amazon.com,,2/2/2021,Shipped,$6.79 ,$0.00 ,$0.35 ,$1.02 ,$0.35 ,$6.12 ,PSF,
1/26/2021,Amazon.com,,3/22/2021,Shipped,$10.41 ,$0.00 ,$0.63 ,$0.00 ,$0.63 ,$11.04 ,PSF,
1/26/2021,Amazon.com,,2/2/2021,Shipped,$6.64 ,$0.00 ,$0.34 ,$1.00 ,$0.34 ,$5.98 ,PSF,
1/27/2021,Amazon.com,,1/27/2021,Shipped,$13.99 ,$0.00 ,$0.80 ,$0.70 ,$0.80 ,$14.09 ,PSF,
1/28/2021,Amazon.com,,1/28/2021,Shipped,$37.39 ,$0.00 ,$2.13 ,$1.87 ,$2.13 ,$37.65 ,PSF,
1/29/2021,Amazon.com,,2/2/2021,Shipped,$17.28 ,$0.00 ,$0.00 ,$2.59 ,$0.00 ,$14.69 ,PSF,
1/30/2021,Amazon.com,,2/2/2021,Shipped,$19.99 ,$0.00 ,$1.20 ,$0.00 ,$1.20 ,$21.19 ,PSF,
1/30/2021,Amazon.com,,2/2/2021,Shipped,$43.98 ,$0.00 ,$2.64 ,$0.00 ,$2.64 ,$46.62 ,PSF,
1/31/2021,Amazon.com,,2/2/2021,Shipped,$4.97 ,$0.00 ,$0.30 ,$0.00 ,$0.30 ,$5.27 ,PSF,
2/2/2021,Amazon.com,,2/3/2021,Shipped,$194.68 ,$0.00 ,$0.27 ,$0.00 ,$0.27 ,$194.95 ,PSF,
2/7/2021,Amazon.com,,2/8/2021,Shipped,$22.99 ,$0.00 ,$1.31 ,$1.15 ,$1.31 ,$23.15 ,PSF,
2/9/2021,Amazon.com,,2/10/2021,Shipped,$17.49 ,$0.00 ,$1.05 ,$0.00 ,$1.05 ,$18.54 ,PSF,
2/9/2021,Amazon.com,,2/10/2021,Shipped,$19.99 ,$0.00 ,$1.20 ,$0.00 ,$1.20 ,$21.19 ,PSF,
2/9/2021,Amazon.com,,2/21/2021,Shipped,$11.59 ,$0.00 ,$0.59 ,$1.74 ,$0.59 ,$10.44 ,PSF,
2/9/2021,Amazon.com,,2/21/2021,Shipped,$9.92 ,$0.00 ,$0.57 ,$0.50 ,$0.57 ,$9.99 ,PSF,
2/11/2021,Amazon.com,,2/21/2021,Shipped,$9.98 ,$0.00 ,$0.00 ,$1.50 ,$0.00 ,$8.48 ,PSF,
2/11/2021,Amazon.com,,2/11/2021,Shipped,$9.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$9.99 ,PSF,
2/11/2021,Amazon.com,,2/21/2021,Shipped,$4.97 ,$0.00 ,$0.00 ,$0.75 ,$0.00 ,$4.22 ,PSF,
2/12/2021,Amazon.com,,2/21/2021,Shipped,$12.00 ,$0.00 ,$0.00 ,$1.80 ,$0.00 ,$10.20 ,PSF,
2/14/2021,Amazon.com,,3/27/2021,Shipped,$14.94 ,$0.00 ,$0.00 ,$2.24 ,$0.00 ,$12.70 ,PSF,
2/14/2021,Amazon.com,,2/16/2021,Shipped,$148.70 ,$0.00 ,$0.27 ,$0.00 ,$0.27 ,$148.97 ,PSF,
2/14/2021,Amazon.com,,2/16/2021,Shipped,$47.97 ,$0.00 ,$2.88 ,$0.00 ,$2.88 ,$50.85 ,PSF,
2/15/2021,Amazon.com,,2/19/2021,Shipped,$11.71 ,$0.00 ,$0.00 ,$1.76 ,$0.00 ,$9.95 ,PSF,
2/15/2021,Amazon.com,,2/21/2021,Shipped,$10.77 ,$0.00 ,$0.54 ,$1.62 ,$0.54 ,$9.69 ,PSF,
2/15/2021,Amazon.com,,2/21/2021,Shipped,$42.73 ,$0.00 ,$2.18 ,$10.41 ,$2.18 ,$34.50 ,PSF,
2/15/2021,Amazon.com,,2/21/2021,Shipped,$9.54 ,$0.00 ,$0.00 ,$1.43 ,$0.00 ,$8.11 ,PSF,
2/16/2021,Amazon.com,,3/28/2021,Shipped,$6.76 ,$0.00 ,$0.00 ,$0.34 ,$0.00 ,$6.42 ,PSF,
2/18/2021,Amazon.com,,2/19/2021,Shipped,$4.99 ,$0.00 ,$0.30 ,$0.00 ,$0.30 ,$5.29 ,PSF,
2/21/2021,Amazon.com,,3/28/2021,Shipped,$10.49 ,$0.00 ,$0.54 ,$1.57 ,$0.54 ,$9.46 ,PSF,
2/22/2021,Amazon.com,,2/22/2021,Shipped,$7.84 ,$0.00 ,$0.47 ,$0.00 ,$0.47 ,$8.31 ,PSF,
2/22/2021,Amazon.com,,2/22/2021,Shipped,$2.25 ,$0.00 ,$0.14 ,$0.00 ,$0.14 ,$2.39 ,PSF,
2/23/2021,Amazon.com,,2/25/2021,Shipped,$22.99 ,$0.00 ,$1.31 ,$1.15 ,$1.31 ,$23.15 ,PSF,
